,buying,maint,doors,persons,lug_boot,safety,class
1311,low,vhigh,2,4,big,low,unacc
1176,med,med,5more,4,big,low,unacc
1350,low,vhigh,4,2,small,low,unacc
878,med,vhigh,2,4,med,high,acc
157,vhigh,high,3,more,med,med,unacc
1519,low,med,2,2,big,med,unacc
1329,low,vhigh,3,2,big,low,unacc
947,med,vhigh,5more,2,small,high,unacc
69,vhigh,vhigh,4,4,big,low,unacc
1207,med,low,2,more,small,med,unacc
1552,low,med,3,4,med,med,acc
844,high,low,5more,2,big,med,unacc
934,med,vhigh,4,4,big,med,acc
564,high,high,2,more,big,low,unacc
815,high,low,4,2,med,high,unacc
1542,low,med,3,2,med,low,unacc
296,vhigh,med,4,more,big,high,acc
402,vhigh,low,4,more,big,low,unacc
424,vhigh,low,5more,more,small,med,unacc
892,med,vhigh,3,2,small,med,unacc
1685,low,low,4,4,small,high,good
1705,low,low,5more,2,med,med,unacc
1518,low,med,2,2,big,low,unacc
598,high,high,4,2,med,med,unacc
1399,low,vhigh,5more,more,med,med,acc
1048,med,high,4,more,med,med,acc
1022,med,high,3,more,med,high,acc
332,vhigh,low,2,2,big,high,unacc
1070,med,high,5more,4,big,high,acc
1092,med,med,2,4,med,low,unacc
1251,med,low,4,4,small,low,unacc
262,vhigh,med,3,more,small,med,unacc
92,vhigh,vhigh,5more,4,small,high,unacc
678,high,med,3,2,med,low,unacc
1499,low,high,5more,4,med,high,vgood
1202,med,low,2,4,med,high,good
1296,low,vhigh,2,2,small,low,unacc
884,med,vhigh,2,more,small,high,unacc
216,vhigh,med,2,2,small,low,unacc
185,vhigh,high,4,more,med,high,unacc
376,vhigh,low,3,more,big,med,acc
536,high,vhigh,5more,more,med,high,unacc
280,vhigh,med,4,4,small,med,unacc
1515,low,med,2,2,med,low,unacc
506,high,vhigh,4,more,small,high,unacc
731,high,med,5more,2,small,high,unacc
375,vhigh,low,3,more,big,low,unacc
1287,med,low,5more,more,small,low,unacc
824,high,low,4,4,med,high,acc
335,vhigh,low,2,4,small,high,acc
1079,med,high,5more,more,big,high,acc
766,high,low,2,4,small,med,unacc
1386,low,vhigh,5more,4,small,low,unacc
691,high,med,3,4,big,med,acc
46,vhigh,vhigh,3,more,small,med,unacc
629,high,high,5more,2,big,high,unacc
1410,low,high,2,2,big,low,unacc
938,med,vhigh,4,more,small,high,acc
1372,low,vhigh,4,more,med,med,acc
1067,med,high,5more,4,med,high,acc
1098,med,med,2,more,small,low,unacc
1321,low,vhigh,2,more,big,med,acc
779,high,low,2,more,med,high,acc
1264,med,low,4,more,med,med,good
1639,low,low,2,more,small,med,unacc
1303,low,vhigh,2,2,big,med,unacc
421,vhigh,low,5more,4,big,med,acc
801,high,low,3,more,small,low,unacc
1295,med,low,5more,more,big,high,vgood
930,med,vhigh,4,4,med,low,unacc
989,med,high,2,4,big,high,acc
1546,low,med,3,2,big,med,unacc
773,high,low,2,4,big,high,acc
84,vhigh,vhigh,5more,2,med,low,unacc
1365,low,vhigh,4,4,big,low,unacc
1351,low,vhigh,4,2,small,med,unacc
905,med,vhigh,3,4,med,high,acc
1718,low,low,5more,4,big,high,vgood
270,vhigh,med,4,2,small,low,unacc
1185,med,med,5more,more,big,low,unacc
318,vhigh,med,5more,more,med,low,unacc
1691,low,low,4,4,big,high,vgood
1114,med,med,3,2,big,med,unacc
898,med,vhigh,3,2,big,med,unacc
139,vhigh,high,3,2,med,med,unacc
883,med,vhigh,2,more,small,med,unacc
736,high,med,5more,2,big,med,unacc
1550,low,med,3,4,small,high,good
1429,low,high,2,more,big,med,acc
87,vhigh,vhigh,5more,2,big,low,unacc
213,vhigh,high,5more,more,big,low,unacc
483,high,vhigh,3,more,big,low,unacc
398,vhigh,low,4,more,small,high,acc
1723,low,low,5more,more,med,med,good
1111,med,med,3,2,med,med,unacc
684,high,med,3,4,small,low,unacc
1393,low,vhigh,5more,4,big,med,acc
1127,med,med,3,more,small,high,acc
1610,low,med,5more,4,big,high,vgood
317,vhigh,med,5more,more,small,high,acc
686,high,med,3,4,small,high,acc
807,high,low,3,more,big,low,unacc
165,vhigh,high,4,2,med,low,unacc
798,high,low,3,4,big,low,unacc
1516,low,med,2,2,med,med,unacc
562,high,high,2,more,med,med,unacc
38,vhigh,vhigh,3,4,small,high,unacc
1579,low,med,4,4,med,med,good
576,high,high,3,4,small,low,unacc
202,vhigh,high,5more,4,med,med,unacc
455,high,vhigh,2,more,med,high,unacc
999,med,high,3,2,small,low,unacc
1074,med,high,5more,more,med,low,unacc
719,high,med,4,4,big,high,acc
1523,low,med,2,4,small,high,good
352,vhigh,low,3,2,small,med,unacc
18,vhigh,vhigh,2,more,small,low,unacc
988,med,high,2,4,big,med,acc
593,high,high,3,more,big,high,acc
132,vhigh,high,2,more,big,low,unacc
308,vhigh,med,5more,4,small,high,acc
432,high,vhigh,2,2,small,low,unacc
442,high,vhigh,2,4,small,med,unacc
926,med,vhigh,4,2,big,high,unacc
813,high,low,4,2,med,low,unacc
538,high,vhigh,5more,more,big,med,unacc
1706,low,low,5more,2,med,high,unacc
1117,med,med,3,4,small,med,acc
1173,med,med,5more,4,med,low,unacc
326,vhigh,low,2,2,small,high,unacc
841,high,low,5more,2,med,med,unacc
1432,low,high,3,2,small,med,unacc
1005,med,high,3,2,big,low,unacc
1666,low,low,3,more,small,med,acc
900,med,vhigh,3,4,small,low,unacc
338,vhigh,low,2,4,med,high,acc
546,high,high,2,2,big,low,unacc
547,high,high,2,2,big,med,unacc
821,high,low,4,4,small,high,acc
59,vhigh,vhigh,4,2,med,high,unacc
1600,low,med,5more,2,big,med,unacc
1593,low,med,5more,2,small,low,unacc
259,vhigh,med,3,4,big,med,acc
1627,low,low,2,2,big,med,unacc
1561,low,med,3,more,med,med,good
1010,med,high,3,4,small,high,acc
1080,med,med,2,2,small,low,unacc
651,high,med,2,2,med,low,unacc
1230,med,low,3,4,big,low,unacc
1476,low,high,4,more,small,low,unacc
1283,med,low,5more,4,med,high,vgood
864,med,vhigh,2,2,small,low,unacc
1537,low,med,2,more,big,med,good
401,vhigh,low,4,more,med,high,acc
631,high,high,5more,4,small,med,unacc
136,vhigh,high,3,2,small,med,unacc
992,med,high,2,more,small,high,unacc
1370,low,vhigh,4,more,small,high,acc
397,vhigh,low,4,more,small,med,unacc
543,high,high,2,2,med,low,unacc
961,med,vhigh,5more,4,big,med,acc
861,high,low,5more,more,big,low,unacc
1033,med,high,4,2,big,med,unacc
1709,low,low,5more,2,big,high,unacc
1391,low,vhigh,5more,4,med,high,acc
784,high,low,3,2,small,med,unacc
446,high,vhigh,2,4,med,high,unacc
119,vhigh,high,2,4,small,high,unacc
1698,low,low,4,more,big,low,unacc
249,vhigh,med,3,2,big,low,unacc
868,med,vhigh,2,2,med,med,unacc
1497,low,high,5more,4,med,low,unacc
843,high,low,5more,2,big,low,unacc
1309,low,vhigh,2,4,med,med,unacc
1619,low,med,5more,more,big,high,vgood
1406,low,high,2,2,small,high,unacc
1214,med,low,2,more,big,high,vgood
1416,low,high,2,4,med,low,unacc
1144,med,med,4,4,small,med,acc
1701,low,low,5more,2,small,low,unacc
1335,low,vhigh,3,4,med,low,unacc
362,vhigh,low,3,4,small,high,acc
1693,low,low,4,more,small,med,acc
1713,low,low,5more,4,med,low,unacc
224,vhigh,med,2,2,big,high,unacc
1113,med,med,3,2,big,low,unacc
1661,low,low,3,4,med,high,good
31,vhigh,vhigh,3,2,med,med,unacc
1333,low,vhigh,3,4,small,med,unacc
1436,low,high,3,2,med,high,unacc
734,high,med,5more,2,med,high,unacc
405,vhigh,low,5more,2,small,low,unacc
901,med,vhigh,3,4,small,med,unacc
1533,low,med,2,more,med,low,unacc
666,high,med,2,more,small,low,unacc
1507,low,high,5more,more,med,med,acc
896,med,vhigh,3,2,med,high,unacc
764,high,low,2,2,big,high,unacc
1045,med,high,4,more,small,med,unacc
478,high,vhigh,3,more,small,med,unacc
291,vhigh,med,4,more,med,low,unacc
1146,med,med,4,4,med,low,unacc
1686,low,low,4,4,med,low,unacc
862,high,low,5more,more,big,med,acc
1458,low,high,4,2,small,low,unacc
221,vhigh,med,2,2,med,high,unacc
1087,med,med,2,2,big,med,unacc
1257,med,low,4,4,big,low,unacc
61,vhigh,vhigh,4,2,big,med,unacc
316,vhigh,med,5more,more,small,med,unacc
235,vhigh,med,2,more,small,med,unacc
1628,low,low,2,2,big,high,unacc
923,med,vhigh,4,2,med,high,unacc
740,high,med,5more,4,small,high,acc
164,vhigh,high,4,2,small,high,unacc
856,high,low,5more,more,small,med,unacc
381,vhigh,low,4,2,med,low,unacc
555,high,high,2,4,big,low,unacc
1187,med,med,5more,more,big,high,vgood
1000,med,high,3,2,small,med,unacc
951,med,vhigh,5more,2,big,low,unacc
239,vhigh,med,2,more,med,high,acc
121,vhigh,high,2,4,med,med,unacc
511,high,vhigh,4,more,big,med,unacc
312,vhigh,med,5more,4,big,low,unacc
667,high,med,2,more,small,med,unacc
688,high,med,3,4,med,med,unacc
263,vhigh,med,3,more,small,high,acc
1051,med,high,4,more,big,med,acc
1024,med,high,3,more,big,med,acc
342,vhigh,low,2,more,small,low,unacc
830,high,low,4,more,small,high,acc
1387,low,vhigh,5more,4,small,med,unacc
1449,low,high,3,more,small,low,unacc
79,vhigh,vhigh,4,more,big,med,unacc
1124,med,med,3,4,big,high,vgood
812,high,low,4,2,small,high,unacc
1472,low,high,4,4,med,high,vgood
1443,low,high,3,4,med,low,unacc
89,vhigh,vhigh,5more,2,big,high,unacc
696,high,med,3,more,med,low,unacc
1326,low,vhigh,3,2,med,low,unacc
66,vhigh,vhigh,4,4,med,low,unacc
954,med,vhigh,5more,4,small,low,unacc
101,vhigh,vhigh,5more,more,small,high,unacc
972,med,high,2,2,small,low,unacc
299,vhigh,med,5more,2,small,high,unacc
660,high,med,2,4,med,low,unacc
1340,low,vhigh,3,4,big,high,acc
726,high,med,4,more,big,low,unacc
429,vhigh,low,5more,more,big,low,unacc
745,high,med,5more,4,big,med,acc
98,vhigh,vhigh,5more,4,big,high,unacc
642,high,high,5more,more,med,low,unacc
628,high,high,5more,2,big,med,unacc
775,high,low,2,more,small,med,unacc
1680,low,low,4,2,big,low,unacc
903,med,vhigh,3,4,med,low,unacc
340,vhigh,low,2,4,big,med,acc
646,high,high,5more,more,big,med,acc
1206,med,low,2,more,small,low,unacc
266,vhigh,med,3,more,med,high,acc
160,vhigh,high,3,more,big,med,unacc
231,vhigh,med,2,4,big,low,unacc
217,vhigh,med,2,2,small,med,unacc
663,high,med,2,4,big,low,unacc
1651,low,low,3,2,med,med,unacc
1595,low,med,5more,2,small,high,unacc
1179,med,med,5more,more,small,low,unacc
1212,med,low,2,more,big,low,unacc
1271,med,low,5more,2,small,high,unacc
300,vhigh,med,5more,2,med,low,unacc
872,med,vhigh,2,2,big,high,unacc
1121,med,med,3,4,med,high,acc
1599,low,med,5more,2,big,low,unacc
328,vhigh,low,2,2,med,med,unacc
1266,med,low,4,more,big,low,unacc
1219,med,low,3,2,med,med,unacc
357,vhigh,low,3,2,big,low,unacc
1218,med,low,3,2,med,low,unacc
1355,low,vhigh,4,2,med,high,unacc
1344,low,vhigh,3,more,med,low,unacc
1148,med,med,4,4,med,high,vgood
1448,low,high,3,4,big,high,vgood
1563,low,med,3,more,big,low,unacc
414,vhigh,low,5more,4,small,low,unacc
682,high,med,3,2,big,med,unacc
931,med,vhigh,4,4,med,med,acc
279,vhigh,med,4,4,small,low,unacc
419,vhigh,low,5more,4,med,high,acc
1192,med,low,2,2,med,med,unacc
949,med,vhigh,5more,2,med,med,unacc
167,vhigh,high,4,2,med,high,unacc
614,high,high,4,more,small,high,acc
198,vhigh,high,5more,4,small,low,unacc
1528,low,med,2,4,big,med,good
1451,low,high,3,more,small,high,acc
943,med,vhigh,4,more,big,med,acc
1454,low,high,3,more,med,high,vgood
752,high,med,5more,more,med,high,acc
689,high,med,3,4,med,high,acc
1265,med,low,4,more,med,high,vgood
966,med,vhigh,5more,more,med,low,unacc
1655,low,low,3,2,big,high,unacc
470,high,vhigh,3,4,small,high,unacc
729,high,med,5more,2,small,low,unacc
480,high,vhigh,3,more,med,low,unacc
1190,med,low,2,2,small,high,unacc
607,high,high,4,4,med,med,acc
1683,low,low,4,4,small,low,unacc
451,high,vhigh,2,more,small,med,unacc
24,vhigh,vhigh,2,more,big,low,unacc
1564,low,med,3,more,big,med,good
13,vhigh,vhigh,2,4,med,med,unacc
214,vhigh,high,5more,more,big,med,unacc
111,vhigh,high,2,2,med,low,unacc
556,high,high,2,4,big,med,acc
127,vhigh,high,2,more,small,med,unacc
1598,low,med,5more,2,med,high,unacc
1090,med,med,2,4,small,med,acc
1279,med,low,5more,4,small,med,acc
831,high,low,4,more,med,low,unacc
714,high,med,4,4,med,low,unacc
760,high,low,2,2,med,med,unacc
1241,med,low,3,more,big,high,vgood
945,med,vhigh,5more,2,small,low,unacc
234,vhigh,med,2,more,small,low,unacc
619,high,high,4,more,big,med,acc
349,vhigh,low,2,more,big,med,acc
175,vhigh,high,4,4,med,med,unacc
492,high,vhigh,4,2,big,low,unacc
799,high,low,3,4,big,med,acc
1450,low,high,3,more,small,med,acc
591,high,high,3,more,big,low,unacc
765,high,low,2,4,small,low,unacc
635,high,high,5more,4,med,high,acc
1367,low,vhigh,4,4,big,high,acc
912,med,vhigh,3,more,med,low,unacc
1659,low,low,3,4,med,low,unacc
612,high,high,4,more,small,low,unacc
1199,med,low,2,4,small,high,good
805,high,low,3,more,med,med,acc
1041,med,high,4,4,big,low,unacc
1039,med,high,4,4,med,med,acc
1489,low,high,5more,2,med,med,unacc
406,vhigh,low,5more,2,small,med,unacc
1075,med,high,5more,more,med,med,acc
744,high,med,5more,4,big,low,unacc
1143,med,med,4,4,small,low,unacc
95,vhigh,vhigh,5more,4,med,high,unacc
833,high,low,4,more,med,high,acc
586,high,high,3,more,small,med,unacc
1657,low,low,3,4,small,med,acc
81,vhigh,vhigh,5more,2,small,low,unacc
1198,med,low,2,4,small,med,acc
644,high,high,5more,more,med,high,acc
233,vhigh,med,2,4,big,high,acc
895,med,vhigh,3,2,med,med,unacc
1211,med,low,2,more,med,high,good
476,high,vhigh,3,4,big,high,unacc
75,vhigh,vhigh,4,more,med,low,unacc
590,high,high,3,more,med,high,acc
1490,low,high,5more,2,med,high,unacc
1152,med,med,4,more,small,low,unacc
532,high,vhigh,5more,more,small,med,unacc
72,vhigh,vhigh,4,more,small,low,unacc
1463,low,high,4,2,med,high,unacc
237,vhigh,med,2,more,med,low,unacc
837,high,low,5more,2,small,low,unacc
1588,low,med,4,more,med,med,good
973,med,high,2,2,small,med,unacc
1238,med,low,3,more,med,high,vgood
57,vhigh,vhigh,4,2,med,low,unacc
1369,low,vhigh,4,more,small,med,unacc
1262,med,low,4,more,small,high,good
1115,med,med,3,2,big,high,unacc
1622,low,low,2,2,small,high,unacc
1109,med,med,3,2,small,high,unacc
205,vhigh,high,5more,4,big,med,unacc
169,vhigh,high,4,2,big,med,unacc
605,high,high,4,4,small,high,acc
416,vhigh,low,5more,4,small,high,acc
1319,low,vhigh,2,more,med,high,acc
1322,low,vhigh,2,more,big,high,acc
1524,low,med,2,4,med,low,unacc
922,med,vhigh,4,2,med,med,unacc
977,med,high,2,2,med,high,unacc
993,med,high,2,more,med,low,unacc
1273,med,low,5more,2,med,med,unacc
1679,low,low,4,2,med,high,unacc
1342,low,vhigh,3,more,small,med,unacc
1137,med,med,4,2,med,low,unacc
210,vhigh,high,5more,more,med,low,unacc
906,med,vhigh,3,4,big,low,unacc
855,high,low,5more,more,small,low,unacc
529,high,vhigh,5more,4,big,med,unacc
430,vhigh,low,5more,more,big,med,acc
924,med,vhigh,4,2,big,low,unacc
186,vhigh,high,4,more,big,low,unacc
395,vhigh,low,4,4,big,high,acc
959,med,vhigh,5more,4,med,high,acc
1004,med,high,3,2,med,high,unacc
679,high,med,3,2,med,med,unacc
1395,low,vhigh,5more,more,small,low,unacc
1464,low,high,4,2,big,low,unacc
229,vhigh,med,2,4,med,med,unacc
1091,med,med,2,4,small,high,acc
1601,low,med,5more,2,big,high,unacc
27,vhigh,vhigh,3,2,small,low,unacc
851,high,low,5more,4,med,high,acc
1697,low,low,4,more,med,high,vgood
435,high,vhigh,2,2,med,low,unacc
422,vhigh,low,5more,4,big,high,acc
1653,low,low,3,2,big,low,unacc
1721,low,low,5more,more,small,high,good
488,high,vhigh,4,2,small,high,unacc
1727,low,low,5more,more,big,high,vgood
1608,low,med,5more,4,big,low,unacc
1512,low,med,2,2,small,low,unacc
1498,low,high,5more,4,med,med,acc
580,high,high,3,4,med,med,unacc
771,high,low,2,4,big,low,unacc
390,vhigh,low,4,4,med,low,unacc
1466,low,high,4,2,big,high,unacc
1180,med,med,5more,more,small,med,acc
364,vhigh,low,3,4,med,med,unacc
1566,low,med,4,2,small,low,unacc
1086,med,med,2,2,big,low,unacc
915,med,vhigh,3,more,big,low,unacc
1504,low,high,5more,more,small,med,acc
1320,low,vhigh,2,more,big,low,unacc
797,high,low,3,4,med,high,acc
957,med,vhigh,5more,4,med,low,unacc
1064,med,high,5more,4,small,high,acc
1125,med,med,3,more,small,low,unacc
962,med,vhigh,5more,4,big,high,acc
56,vhigh,vhigh,4,2,small,high,unacc
1725,low,low,5more,more,big,low,unacc
1682,low,low,4,2,big,high,unacc
1163,med,med,5more,2,small,high,unacc
1531,low,med,2,more,small,med,unacc
1664,low,low,3,4,big,high,vgood
331,vhigh,low,2,2,big,med,unacc
709,high,med,4,2,big,med,unacc
112,vhigh,high,2,2,med,med,unacc
1196,med,low,2,2,big,high,unacc
653,high,med,2,2,med,high,unacc
2,vhigh,vhigh,2,2,small,high,unacc
917,med,vhigh,3,more,big,high,acc
521,high,vhigh,5more,2,big,high,unacc
1430,low,high,2,more,big,high,vgood
549,high,high,2,4,small,low,unacc
456,high,vhigh,2,more,big,low,unacc
1663,low,low,3,4,big,med,good
1629,low,low,2,4,small,low,unacc
699,high,med,3,more,big,low,unacc
585,high,high,3,more,small,low,unacc
1140,med,med,4,2,big,low,unacc
720,high,med,4,more,small,low,unacc
1486,low,high,5more,2,small,med,unacc
1696,low,low,4,more,med,med,good
542,high,high,2,2,small,high,unacc
894,med,vhigh,3,2,med,low,unacc
1644,low,low,2,more,big,low,unacc
238,vhigh,med,2,more,med,med,unacc
1268,med,low,4,more,big,high,vgood
1122,med,med,3,4,big,low,unacc
1525,low,med,2,4,med,med,acc
1330,low,vhigh,3,2,big,med,unacc
1577,low,med,4,4,small,high,good
850,high,low,5more,4,med,med,acc
618,high,high,4,more,big,low,unacc
1359,low,vhigh,4,4,small,low,unacc
74,vhigh,vhigh,4,more,small,high,unacc
1345,low,vhigh,3,more,med,med,acc
305,vhigh,med,5more,2,big,high,unacc
403,vhigh,low,4,more,big,med,acc
932,med,vhigh,4,4,med,high,acc
819,high,low,4,4,small,low,unacc
867,med,vhigh,2,2,med,low,unacc
197,vhigh,high,5more,2,big,high,unacc
520,high,vhigh,5more,2,big,med,unacc
1073,med,high,5more,more,small,high,acc
939,med,vhigh,4,more,med,low,unacc
404,vhigh,low,4,more,big,high,acc
806,high,low,3,more,med,high,acc
1687,low,low,4,4,med,med,good
1592,low,med,4,more,big,high,vgood
1043,med,high,4,4,big,high,acc
1177,med,med,5more,4,big,med,acc
579,high,high,3,4,med,low,unacc
1294,med,low,5more,more,big,med,good
100,vhigh,vhigh,5more,more,small,med,unacc
1407,low,high,2,2,med,low,unacc
711,high,med,4,4,small,low,unacc
1677,low,low,4,2,med,low,unacc
1165,med,med,5more,2,med,med,unacc
105,vhigh,vhigh,5more,more,big,low,unacc
1025,med,high,3,more,big,high,acc
150,vhigh,high,3,4,big,low,unacc
1641,low,low,2,more,med,low,unacc
1132,med,med,3,more,big,med,acc
657,high,med,2,4,small,low,unacc
19,vhigh,vhigh,2,more,small,med,unacc
466,high,vhigh,3,2,big,med,unacc
1161,med,med,5more,2,small,low,unacc
1717,low,low,5more,4,big,med,good
73,vhigh,vhigh,4,more,small,med,unacc
1182,med,med,5more,more,med,low,unacc
68,vhigh,vhigh,4,4,med,high,unacc
1155,med,med,4,more,med,low,unacc
1581,low,med,4,4,big,low,unacc
1379,low,vhigh,5more,2,small,high,unacc
1108,med,med,3,2,small,med,unacc
1343,low,vhigh,3,more,small,high,acc
991,med,high,2,more,small,med,unacc
1549,low,med,3,4,small,med,acc
566,high,high,2,more,big,high,acc
274,vhigh,med,4,2,med,med,unacc
1058,med,high,5more,2,med,high,unacc
102,vhigh,vhigh,5more,more,med,low,unacc
710,high,med,4,2,big,high,unacc
387,vhigh,low,4,4,small,low,unacc
575,high,high,3,2,big,high,unacc
425,vhigh,low,5more,more,small,high,acc
179,vhigh,high,4,4,big,high,unacc
88,vhigh,vhigh,5more,2,big,med,unacc
1500,low,high,5more,4,big,low,unacc
67,vhigh,vhigh,4,4,med,med,unacc
1401,low,vhigh,5more,more,big,low,unacc
